@RELATION svm_model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {bumps,door,steps,speech,spcDoor,background,scream}

@DATA
0.039587,0.019607,2.213791,0.064904,0.105296,0.035158,0.000376,0.051317,-20.930498,2.254810,-1.795429,0.945576,-0.093257,0.198123,0.012381,0.119689,0.325865,0.062478,0.186786,-0.211456,0.062041,0.013975,0.004221,0.004111,0.008652,0.011705,0.011872,0.012532,0.004223,0.004576,0.007879,0.011568,0.010747,0.004611,0.003838,0.004395,0.157475,0.012065,0.025811,0.015990,0.000170,0.001003,0.251375,0.115704,0.099326,0.111693,0.091446,0.092187,0.043638,0.061805,0.036624,0.031014,0.036839,0.030730,0.043868,0.003253,0.000926,0.001512,0.002048,0.004754,0.003660,0.003011,0.001290,0.001142,0.002166,0.003503,0.003704,0.001011,bumps
0.068127,0.018681,2.634124,0.110326,0.125889,0.499337,0.000324,0.093192,-20.613251,0.647865,-1.135538,0.172042,-0.129677,-0.047387,0.136718,-0.165307,0.035883,-0.022532,0.041531,-0.122367,-0.078222,0.003305,0.001025,0.007364,0.004031,0.005546,0.003559,0.005583,0.001273,0.002440,0.001803,0.007630,0.003118,0.002714,0.006381,0.011040,0.073503,0.007727,0.010935,0.029861,0.000194,0.002377,1.146055,0.061616,0.027397,0.082392,0.088710,0.111559,0.148016,0.068492,0.101072,0.134702,0.037896,0.114574,0.060278,0.001489,0.000304,0.004557,0.001049,0.003344,0.001622,0.000984,0.000361,0.000520,0.000631,0.004134,0.001400,0.001099,bumps
0.084952,0.025158,2.572049,0.141164,0.123366,1.149918,0.000108,0.179111,-20.321021,-0.225456,-0.670119,0.353120,-0.149962,-0.135089,0.220297,-0.090785,-0.175540,0.045980,0.207121,0.115983,-0.057934,0.002114,0.000850,0.002161,0.001477,0.011279,0.001781,0.003242,0.001670,0.000732,0.001597,0.003238,0.002316,0.002783,0.007737,0.008327,0.225807,0.006356,0.004295,0.106156,0.000099,0.007651,0.419976,0.125285,0.033772,0.042469,0.045845,0.025905,0.026848,0.042644,0.023804,0.004886,0.017285,0.017606,0.036923,0.000348,0.000219,0.000285,0.000516,0.000403,0.001158,0.001823,0.000210,0.000115,0.000052,0.001722,0.000479,0.000112,bumps
0.040999,0.013489,2.889309,0.105020,0.135648,0.355330,0.000597,0.066708,-21.587960,1.287264,-0.644234,0.464373,0.061696,0.040661,-0.088196,0.023422,0.062836,0.166629,0.223506,0.174436,-0.083871,0.109781,0.002728,0.020788,0.017840,0.007690,0.012028,0.036165,0.011552,0.019673,0.008723,0.014288,0.070623,0.035148,0.006631,0.006093,0.138481,0.009134,0.009240,0.124353,0.000182,0.017533,1.175305,0.367675,0.099342,0.093170,0.072733,0.061370,0.085971,0.046811,0.106263,0.045915,0.074901,0.054683,0.035158,0.044840,0.000578,0.009524,0.006408,0.003640,0.006092,0.019573,0.004086,0.007268,0.004977,0.003465,0.026275,0.012652,bumps
0.051196,0.008382,2.694119,0.106501,0.133890,0.356144,0.000482,0.075492,-22.821702,0.799385,-1.077565,0.356578,-0.192934,0.347143,0.134223,-0.096122,0.062157,0.061627,0.059161,-0.143745,0.172080,0.070886,0.002966,0.098162,0.026403,0.013312,0.014148,0.010664,0.003101,0.018284,0.001676,0.007892,0.022365,0.032917,0.001610,0.006766,0.119810,0.004889,0.009823,0.065606,0.000141,0.004836,1.358187,0.094018,0.180831,0.087767,0.022048,0.087376,0.073891,0.062561,0.044946,0.074447,0.081487,0.067801,0.063783,0.021788,0.001003,0.072408,0.010617,0.003418,0.011764,0.004325,0.001027,0.011111,0.000884,0.001137,0.011063,0.014161,bumps
0.048501,0.012774,2.756603,0.105011,0.129627,0.332489,0.000493,0.070589,-22.461074,1.175463,-1.066834,0.298261,-0.131355,0.453438,0.030733,-0.077107,0.038084,0.012603,-0.002535,-0.066506,0.132420,0.027575,0.001966,0.063682,0.010022,0.020680,0.007349,0.011996,0.003929,0.007577,0.005989,0.008499,0.046844,0.020391,0.007538,0.009895,0.247025,0.004922,0.014178,0.062522,0.000248,0.011650,2.026246,0.329812,0.236621,0.116159,0.094035,0.077906,0.076739,0.022220,0.059382,0.091533,0.055834,0.108296,0.046068,0.011959,0.000621,0.041530,0.002369,0.011906,0.002072,0.004578,0.000810,0.002964,0.003886,0.001815,0.045647,0.014846,bumps
0.055796,0.029121,2.578038,0.109057,0.118299,0.419030,0.000280,0.081128,-19.859898,0.552429,-1.312146,0.302942,-0.199117,0.270094,0.143220,-0.266050,-0.069975,-0.011379,-0.087476,-0.225841,0.179781,0.005835,0.000876,0.013129,0.004246,0.012371,0.003701,0.002773,0.004208,0.003682,0.003477,0.005391,0.005141,0.004098,0.004112,0.011119,0.200254,0.007384,0.007898,0.078114,0.000186,0.008874,0.567218,0.163673,0.040535,0.057174,0.034895,0.057538,0.028973,0.035364,0.032548,0.052290,0.012650,0.017644,0.035240,0.002188,0.000305,0.003155,0.001002,0.004151,0.000835,0.000731,0.001513,0.001914,0.001480,0.002714,0.000787,0.001139,bumps
0.040931,0.023423,2.409679,0.090523,0.114223,0.326434,0.000471,0.074622,-20.233037,1.590722,-0.299924,0.911414,0.132787,0.309642,-0.310359,-0.235861,-0.032004,-0.133512,-0.014268,-0.020279,0.038253,0.021380,0.002146,0.018829,0.008328,0.027678,0.011776,0.008204,0.002661,0.020785,0.010908,0.019126,0.022417,0.009725,0.002335,0.005933,0.271653,0.005283,0.012912,0.047672,0.000390,0.004892,0.420090,0.092018,0.051757,0.068543,0.070348,0.018831,0.050790,0.115552,0.073832,0.039986,0.060270,0.054598,0.029085,0.010802,0.000630,0.005394,0.002888,0.010701,0.004844,0.001949,0.001356,0.006158,0.003151,0.006214,0.012353,0.002624,bumps
0.031141,0.029530,2.327472,0.067864,0.125457,0.029815,0.000964,0.026611,-22.286087,3.404529,-0.727760,0.143705,0.304531,0.066574,-0.027293,-0.118529,-0.049169,0.061633,-0.288969,-0.236675,-0.065163,0.005733,0.008405,0.006103,0.005540,0.009132,0.006944,0.016032,0.022318,0.121495,0.009004,0.025237,0.007981,0.032385,0.018860,0.020245,0.105106,0.018264,0.040160,0.008811,0.000831,0.002047,1.715153,0.036088,0.371865,0.077503,0.110272,0.045782,0.126846,0.080104,0.032863,0.028355,0.104077,0.061536,0.050761,0.001345,0.003680,0.001704,0.005054,0.007947,0.001500,0.001211,0.024605,0.017225,0.004451,0.017184,0.001634,0.003991,bumps
0.046464,0.017640,2.752300,0.095248,0.135477,0.149571,0.000556,0.048800,-21.439803,1.800596,-1.554436,0.201790,-0.067777,-0.018870,0.443290,0.331472,0.407612,0.300889,-0.083313,-0.248360,0.208754,0.017560,0.003826,0.020774,0.039872,0.027799,0.006574,0.008788,0.002065,0.010395,0.004283,0.014650,0.032513,0.013253,0.005487,0.005772,0.147992,0.010093,0.012011,0.045625,0.000285,0.001549,0.265582,0.091857,0.132599,0.043033,0.083317,0.075567,0.028255,0.014825,0.029578,0.048762,0.025319,0.069047,0.056477,0.004328,0.002200,0.008167,0.010956,0.003896,0.002771,0.003348,0.000377,0.002668,0.002042,0.004191,0.007610,0.002573,bumps
